ENCODED_MCT,MCT_BSE_AR,g_place_id,g_rating,g_user_ratings_total,status
000F03E44A,서울특별시 성동구 왕십리로4가길 9,ChIJSxPPaEylfDURPCE88aWGIUE,4.3,20.0,OK
002816BA73,서울 성동구 청계천로10나길 78,ChIJ5f4UVUmefDUR8dWFcgEHzao,5.0,2.0,OK
003473B465,서울특별시 성동구 서울숲길 55,ChIJ993jM5alfDURK3Yb1pmmBf8,3.8,2536.0,OK
003AC99735,서울특별시 성동구 용답중앙15길 12,ChIJT9YLXyylfDUR_WPE979NNNo,3.9,18.0,OK
0041E4E5AE,서울특별시 성동구 용답중앙15길 1,ChIJmRHXeQClfDURsr5aLfDZSXo,,,OK
0050D68B18,서울특별시 성동구 아차산로 87,ChIJ_____5ykfDURTFu7mxoVtEI,4.0,918.0,OK
00646B6673,서울특별시 성동구 고산자로 164,ChIJK2M3Dh-jfDUR7_b4sLJIxmE,4.6,11.0,OK
0074C4990A,서울 성동구 마장동,ChIJ2Y6Co1WjfDURYKt7UxZk_SU,,,OK
007BE37BA2,서울특별시 성동구 연무장7가길 2,ChIJHyVjfwClfDURuzFH0WLIw0E,4.2,11.0,OK
00803E9174,서울특별시 성동구 성수이로 18,ChIJww6-RAClfDURJiJhduj8Bys,4.7,3.0,OK
0080644746,서울 성동구 왕십리로8길 4.,ChIJVSU1kcelfDURh8r3qQGYEf8,5.0,3726.0,OK
00A2CF886A,서울 성동구 왕십리로22길 6,ChIJQVISfu2ifDURcMWP_lydO6s,5.0,3.0,OK
00BC189C4B,서울  성동구  성수1가2동,ChIJr51zTZikfDUR8ksaQjDTiQQ,4.4,10.0,OK
00CEAAD71A,서울 성동구 왕십리로24나길 6.,ChIJf3wYQ1ijfDURLBZFVWuJZ-k,4.2,4109.0,OK
00DA1813DE,서울특별시 성동구 독서당로60길 2,ChIJ3-SSGtCifDURyfRVxQRzcis,4.3,18.0,OK
00F54829E1,서울특별시 성동구 왕십리로 410,ChIJR4WpBwOjfDURQYFI18JL04k,4.2,9.0,OK
00F733C995,서울특별시 성동구 아차산로 126,ChIJo4wo6ielfDURoCRj91ejV6A,4.2,29.0,OK
00FDB35E9C,서울특별시 성동구 마조로15길 19,ChIJSbNowImlfDUR6Intd7bbNhI,4.7,40.0,OK
011E53BB76,서울특별시 성동구 왕십리로 410,ChIJ_9mOeUWjfDURi038uH54LGU,4.0,23.0,OK
012A64A73B,서울특별시 성동구 마장로 319-1,ChIJVfqaa1K7fDURtr53jsNAPLE,4.3,26.0,OK
014A6A2154,서울특별시 성동구 마장로 222,ChIJ-TRm0lCjfDURxE55j4nSKl8,,,OK
01670CF403,서울특별시 성동구 왕십리로 390,ChIJK3qple-jfDURRXVShR0LgPY,4.2,14.0,OK
016C67D6C6,서울특별시 성동구 상원10길 3,ChIJvyPBVI-lfDUR5FaBTnXuPKc,4.5,61.0,OK
01744C5370,서울특별시 성동구 연무장5길 9-16,ChIJYbOM0tKlfDUR9R_nrKk_LK4,4.8,226.0,OK
0174C56C09,서울 성동구 아차산로11길 26.,ChIJTbewe3mlfDURbqVJQlD7IMQ,4.6,64.0,OK
018DD7E495,서울 성동구 독서당로 296-8,,,,not_found
019E31E4C6,서울특별시 성동구 광나루로4길 4-1,ChIJ0eakr72kfDURe4tU3g_hrwQ,,,OK
